state,date,deaths,daily_change
Alabama,2020-05-03,290,2
Alabama,2020-05-04,298,8
Alabama,2020-05-05,315,17
Alabama,2020-05-06,343,28
Alabama,2020-05-07,369,26
Alabama,2020-05-08,383,14
Alabama,2020-05-09,390,7
Alabama,2020-05-10,393,3
Alabama,2020-05-11,403,10
Alabama,2020-05-12,435,32
Alabama,2020-05-13,450,15
Alabama,2020-05-14,473,23
Alabama,2020-05-15,483,10
Alabama,2020-05-16,485,2
Alabama,2020-05-17,488,3
Alabama,2020-05-18,489,1
Alabama,2020-05-19,504,15
Alabama,2020-05-20,522,18
Alabama,2020-05-21,529,7
Alabama,2020-05-22,541,12
Alabama,2020-05-23,549,8
Alabama,2020-05-24,551,2
Alabama,2020-05-25,566,15
Alabama,2020-05-26,580,14
Alabama,2020-05-27,583,3
Alabama,2020-05-28,591,8
Alabama,2020-05-29,610,19
Alabama,2020-05-30,618,8
Alabama,2020-05-31,630,12
Alabama,2020-06-01,646,16
Alabama,2020-06-02,653,7
Alabama,2020-06-03,653,0
Alabama,2020-06-04,653,0
Alabama,2020-06-05,676,23
Alabama,2020-06-06,689,13
Alabama,2020-06-07,692,3
Alabama,2020-06-08,718,26
Alabama,2020-06-09,729,11
Alabama,2020-06-10,744,15
Alabama,2020-06-11,755,11
Alabama,2020-06-12,769,14
Alabama,2020-06-13,773,4
Alabama,2020-06-14,773,0
Alabama,2020-06-15,774,1
Alabama,2020-06-16,785,11
Alabama,2020-06-17,790,5
Alabama,2020-06-18,810,20
Alabama,2020-06-19,822,12
Alabama,2020-06-20,838,16
Alabama,2020-06-21,839,1
Alabama,2020-06-22,841,2
Alabama,2020-06-23,864,23
Alabama,2020-06-24,891,27
Alabama,2020-06-25,896,5
Alabama,2020-06-26,907,11
Alabama,2020-06-27,919,12
Alabama,2020-06-28,919,0
Alabama,2020-06-29,929,10
Alabama,2020-06-30,950,21
Alabama,2020-07-01,972,22
Alabama,2020-07-02,985,13
Alabama,2020-07-03,1006,21
Alabama,2020-07-04,1007,1
Alabama,2020-07-05,1007,0
Alabama,2020-07-06,1007,0
Alabama,2020-07-07,1033,26
Alabama,2020-07-08,1058,25
Alabama,2020-07-09,1068,10
Alabama,2020-07-10,1104,36
Alabama,2020-07-11,1114,10
Alabama,2020-07-12,1121,7
Alabama,2020-07-13,1124,3
Alabama,2020-07-14,1164,40
Alabama,2020-07-15,1211,47
Alabama,2020-07-16,1230,19
Alabama,2020-07-17,1265,35
Alabama,2020-07-18,1286,21
Alabama,2020-07-19,1287,1
Alabama,2020-07-20,1291,4
Alabama,2020-07-21,1303,12
Alabama,2020-07-22,1364,61
Alabama,2020-07-23,1397,33
Alabama,2020-07-24,1438,41
Alabama,2020-07-25,1456,18
Alabama,2020-07-26,1473,17
Alabama,2020-07-27,1491,18
Alabama,2020-07-28,1491,0
Alabama,2020-07-29,1538,47
Alabama,2020-07-30,1565,27
Alabama,2020-07-31,1580,15
Alabama,2020-08-01,1603,23
Alabama,2020-08-02,1627,24
Alabama,2020-08-03,1633,6
Alabama,2020-08-04,1666,33
Alabama,2020-08-05,1695,29
Alabama,2020-08-06,1714,19
Alabama,2020-08-07,1735,21
Alabama,2020-08-08,1755,20
Alabama,2020-08-09,1768,13
Alabama,2020-08-10,1797,29
Alabama,2020-08-11,1847,50
Alabama,2020-08-12,1882,35
Alabama,2020-08-13,1890,8
Alabama,2020-08-14,1893,3
Alabama,2020-08-15,1896,3
Alabama,2020-08-16,1898,2
Alabama,2020-08-17,1925,27
Alabama,2020-08-18,1936,11
Alabama,2020-08-19,1944,8
Alaska,2020-01-22,0,0
Alaska,2020-01-23,0,0
Alaska,2020-01-24,0,0
Alaska,2020-01-25,0,0
Alaska,2020-01-26,0,0
Alaska,2020-01-27,0,0
Alaska,2020-01-28,0,0
Alaska,2020-01-29,0,0
Alaska,2020-01-30,0,0
Alaska,2020-01-31,0,0
Alaska,2020-02-01,0,0
Alaska,2020-02-02,0,0
Alaska,2020-02-03,0,0
Alaska,2020-02-04,0,0
Alaska,2020-02-05,0,0
Alaska,2020-02-06,0,0
Alaska,2020-02-07,0,0
Alaska,2020-02-08,0,0
Alaska,2020-02-09,0,0
Alaska,2020-02-10,0,0
Alaska,2020-02-11,0,0
Alaska,2020-02-12,0,0
Alaska,2020-02-13,0,0
Alaska,2020-02-14,0,0
Alaska,2020-02-15,0,0
Alaska,2020-02-16,0,0
Alaska,2020-02-17,0,0
Alaska,2020-02-18,0,0
Alaska,2020-02-19,0,0
Alaska,2020-02-20,0,0
Alaska,2020-02-21,0,0
Alaska,2020-02-22,0,0
Alaska,2020-02-23,0,0
Alaska,2020-02-24,0,0
Alaska,2020-02-25,0,0
Alaska,2020-02-26,0,0
Alaska,2020-02-27,0,0
Alaska,2020-02-28,0,0
Alaska,2020-02-29,0,0
Alaska,2020-03-01,0,0
Alaska,2020-03-02,0,0
Alaska,2020-03-03,0,0
Alaska,2020-03-04,0,0
Alaska,2020-03-05,0,0
Alaska,2020-03-06,0,0
Alaska,2020-03-07,0,0
Alaska,2020-03-08,0,0
Alaska,2020-03-09,0,0
Alaska,2020-03-10,0,0
Alaska,2020-03-11,0,0
Alaska,2020-03-12,0,0
Alaska,2020-03-13,0,0
Alaska,2020-03-14,0,0
Alaska,2020-03-15,0,0
Alaska,2020-03-16,0,0
Alaska,2020-03-17,0,0
Alaska,2020-03-18,0,0
Alaska,2020-03-19,0,0
Alaska,2020-03-20,0,0
Alaska,2020-03-21,0,0
Alaska,2020-03-22,0,0
Alaska,2020-03-23,0,0
Alaska,2020-03-24,0,0
Alaska,2020-03-25,1,1
Alaska,2020-03-26,1,0
Alaska,2020-03-27,1,0
Alaska,2020-03-28,2,1
Alaska,2020-03-29,2,0
Alaska,2020-03-30,3,1
Alaska,2020-03-31,3,0
Alaska,2020-04-01,3,0
Alaska,2020-04-02,3,0
Alaska,2020-04-03,3,0
Alaska,2020-04-04,5,2
Alaska,2020-04-05,6,1
Alaska,2020-04-06,6,0
Alaska,2020-04-07,6,0
Alaska,2020-04-08,7,1
Alaska,2020-04-09,7,0
Alaska,2020-04-10,7,0
Alaska,2020-04-11,8,1
Alaska,2020-04-12,8,0
Alaska,2020-04-13,8,0
Alaska,2020-04-14,9,1
Alaska,2020-04-15,9,0
Alaska,2020-04-16,9,0
Alaska,2020-04-17,9,0
Alaska,2020-04-18,9,0
Alaska,2020-04-19,9,0
Alaska,2020-04-20,9,0
Alaska,2020-04-21,9,0
Alaska,2020-04-22,9,0
Alaska,2020-04-23,9,0
Alaska,2020-04-24,9,0
Alaska,2020-04-25,9,0
Alaska,2020-04-26,9,0
Alaska,2020-04-27,9,0
Alaska,2020-04-28,9,0
Alaska,2020-04-29,9,0
Alaska,2020-04-30,9,0
Alaska,2020-05-01,9,0
Alaska,2020-05-02,9,0
Alaska,2020-05-03,9,0
Alaska,2020-05-04,9,0
Alaska,2020-05-05,9,0
Alaska,2020-05-06,10,1
Alaska,2020-05-07,10,0
Alaska,2020-05-08,10,0
Alaska,2020-05-09,10,0
Alaska,2020-05-10,10,0
Alaska,2020-05-11,10,0
Alaska,2020-05-12,10,0
Alaska,2020-05-13,10,0
Alaska,2020-05-14,10,0
Alaska,2020-05-15,10,0
Alaska,2020-05-16,10,0
Alaska,2020-05-17,10,0
Alaska,2020-05-18,10,0
Alaska,2020-05-19,10,0
Alaska,2020-05-20,10,0
Alaska,2020-05-21,10,0
Alaska,2020-05-22,10,0
Alaska,2020-05-23,10,0
Alaska,2020-05-24,10,0
Alaska,2020-05-25,10,0
Alaska,2020-05-26,10,0
Alaska,2020-05-27,10,0
Alaska,2020-05-28,10,0
Alaska,2020-05-29,10,0
Alaska,2020-05-30,10,0
Alaska,2020-05-31,10,0
Alaska,2020-06-01,10,0
Alaska,2020-06-02,10,0
Alaska,2020-06-03,10,0
Alaska,2020-06-04,10,0
Alaska,2020-06-05,10,0
Alaska,2020-06-06,10,0
Alaska,2020-06-07,10,0
Alaska,2020-06-08,10,0
Alaska,2020-06-09,11,1
Alaska,2020-06-10,11,0
Alaska,2020-06-11,11,0
Alaska,2020-06-12,12,1
Alaska,2020-06-13,12,0
Alaska,2020-06-14,12,0
Alaska,2020-06-15,12,0
Alaska,2020-06-16,12,0
Alaska,2020-06-17,12,0
Alaska,2020-06-18,12,0
Alaska,2020-06-19,12,0
Alaska,2020-06-20,12,0
Alaska,2020-06-21,12,0
Alaska,2020-06-22,12,0
Alaska,2020-06-23,12,0
Alaska,2020-06-24,12,0
Alaska,2020-06-25,12,0
Alaska,2020-06-26,14,2
Alaska,2020-06-27,14,0
Alaska,2020-06-28,14,0
Alaska,2020-06-29,14,0
Alaska,2020-06-30,14,0
Alaska,2020-07-01,14,0
Alaska,2020-07-02,14,0
Alaska,2020-07-03,15,1
Alaska,2020-07-04,16,1
Alaska,2020-07-05,16,0
Alaska,2020-07-06,16,0
Alaska,2020-07-07,17,1
Alaska,2020-07-08,17,0
Alaska,2020-07-09,17,0
Alaska,2020-07-10,17,0
Alaska,2020-07-11,17,0
Alaska,2020-07-12,17,0
Alaska,2020-07-13,17,0
Alaska,2020-07-14,17,0
Alaska,2020-07-15,17,0
Alaska,2020-07-16,17,0
Alaska,2020-07-17,17,0
Alaska,2020-07-18,18,1
Alaska,2020-07-19,18,0
Alaska,2020-07-20,18,0
Alaska,2020-07-21,18,0
Alaska,2020-07-22,19,1
Alaska,2020-07-23,19,0
Alaska,2020-07-24,19,0
Alaska,2020-07-25,20,1
Alaska,2020-07-26,20,0
Alaska,2020-07-27,21,1
Alaska,2020-07-28,22,1
Alaska,2020-07-29,22,0
Alaska,2020-07-30,23,1
Alaska,2020-07-31,23,0
Alaska,2020-08-01,24,1
Alaska,2020-08-02,24,0
Alaska,2020-08-03,25,1
Alaska,2020-08-04,25,0
Alaska,2020-08-05,25,0
Alaska,2020-08-06,25,0
Alaska,2020-08-07,25,0
Alaska,2020-08-08,26,1
Alaska,2020-08-09,26,0
Alaska,2020-08-10,26,0
Alaska,2020-08-11,26,0
Alaska,2020-08-12,27,1
Alaska,2020-08-13,27,0
Alaska,2020-08-14,27,0
Alaska,2020-08-15,28,1
Alaska,2020-08-16,28,0
Alaska,2020-08-17,28,0
Alaska,2020-08-18,29,1
Alaska,2020-08-19,29,0
American Samoa,2020-01-22,0,0
American Samoa,2020-01-23,0,0
American Samoa,2020-01-24,0,0
American Samoa,2020-01-25,0,0
American Samoa,2020-01-26,0,0
American Samoa,2020-01-27,0,0
American Samoa,2020-01-28,0,0
American Samoa,2020-01-29,0,0
American Samoa,2020-01-30,0,0
American Samoa,2020-01-31,0,0
American Samoa,2020-02-01,0,0
American Samoa,2020-02-02,0,0
American Samoa,2020-02-03,0,0
American Samoa,2020-02-04,0,0
American Samoa,2020-02-05,0,0
American Samoa,2020-02-06,0,0
American Samoa,2020-02-07,0,0
American Samoa,2020-02-08,0,0
American Samoa,2020-02-09,0,0
American Samoa,2020-02-10,0,0
American Samoa,2020-02-11,0,0
American Samoa,2020-02-12,0,0
American Samoa,2020-02-13,0,0
American Samoa,2020-02-14,0,0
American Samoa,2020-02-15,0,0
American Samoa,2020-02-16,0,0
American Samoa,2020-02-17,0,0
American Samoa,2020-02-18,0,0
American Samoa,2020-02-19,0,0
American Samoa,2020-02-20,0,0
American Samoa,2020-02-21,0,0
American Samoa,2020-02-22,0,0
American Samoa,2020-02-23,0,0
American Samoa,2020-02-24,0,0
American Samoa,2020-02-25,0,0
American Samoa,2020-02-26,0,0
American Samoa,2020-02-27,0,0
American Samoa,2020-02-28,0,0
American Samoa,2020-02-29,0,0
American Samoa,2020-03-01,0,0
American Samoa,2020-03-02,0,0
American Samoa,2020-03-03,0,0
American Samoa,2020-03-04,0,0
American Samoa,2020-03-05,0,0
American Samoa,2020-03-06,0,0
American Samoa,2020-03-07,0,0
American Samoa,2020-03-08,0,0
American Samoa,2020-03-09,0,0
American Samoa,2020-03-10,0,0
American Samoa,2020-03-11,0,0
American Samoa,2020-03-12,0,0
American Samoa,2020-03-13,0,0
American Samoa,2020-03-14,0,0
American Samoa,2020-03-15,0,0
American Samoa,2020-03-16,0,0
American Samoa,2020-03-17,0,0
American Samoa,2020-03-18,0,0
American Samoa,2020-03-19,0,0
American Samoa,2020-03-20,0,0
American Samoa,2020-03-21,0,0
American Samoa,2020-03-22,0,0
American Samoa,2020-03-23,0,0
American Samoa,2020-03-24,0,0
American Samoa,2020-03-25,0,0
American Samoa,2020-03-26,0,0
American Samoa,2020-03-27,0,0
American Samoa,2020-03-28,0,0
American Samoa,2020-03-29,0,0
American Samoa,2020-03-30,0,0
American Samoa,2020-03-31,0,0
American Samoa,2020-04-01,0,0
American Samoa,2020-04-02,0,0
American Samoa,2020-04-03,0,0
American Samoa,2020-04-04,0,0
American Samoa,2020-04-05,0,0
American Samoa,2020-04-06,0,0
American Samoa,2020-04-07,0,0
American Samoa,2020-04-08,0,0
American Samoa,2020-04-09,0,0
American Samoa,2020-04-10,0,0
American Samoa,2020-04-11,0,0
American Samoa,2020-04-12,0,0
American Samoa,2020-04-13,0,0
American Samoa,2020-04-14,0,0
American Samoa,2020-04-15,0,0
American Samoa,2020-04-16,0,0
American Samoa,2020-04-17,0,0
American Samoa,2020-04-18,0,0
American Samoa,2020-04-19,0,0
American Samoa,2020-04-20,0,0
American Samoa,2020-04-21,0,0
American Samoa,2020-04-22,0,0
American Samoa,2020-04-23,0,0
American Samoa,2020-04-24,0,0
American Samoa,2020-04-25,0,0
American Samoa,2020-04-26,0,0
American Samoa,2020-04-27,0,0
American Samoa,2020-04-28,0,0
American Samoa,2020-04-29,0,0
American Samoa,2020-04-30,0,0
American Samoa,2020-05-01,0,0
American Samoa,2020-05-02,0,0
American Samoa,2020-05-03,0,0
American Samoa,2020-05-04,0,0
American Samoa,2020-05-05,0,0
American Samoa,2020-05-06,0,0
American Samoa,2020-05-07,0,0
American Samoa,2020-05-08,0,0
American Samoa,2020-05-09,0,0
American Samoa,2020-05-10,0,0
American Samoa,2020-05-11,0,0
American Samoa,2020-05-12,0,0
American Samoa,2020-05-13,0,0
American Samoa,2020-05-14,0,0
American Samoa,2020-05-15,0,0
American Samoa,2020-05-16,0,0
American Samoa,2020-05-17,0,0
American Samoa,2020-05-18,0,0
American Samoa,2020-05-19,0,0
American Samoa,2020-05-20,0,0
American Samoa,2020-05-21,0,0
American Samoa,2020-05-22,0,0
American Samoa,2020-05-23,0,0
American Samoa,2020-05-24,0,0
American Samoa,2020-05-25,0,0
American Samoa,2020-05-26,0,0
American Samoa,2020-05-27,0,0
American Samoa,2020-05-28,0,0
American Samoa,2020-05-29,0,0
American Samoa,2020-05-30,0,0
American Samoa,2020-05-31,0,0
American Samoa,2020-06-01,0,0
American Samoa,2020-06-02,0,0
American Samoa,2020-06-03,0,0
American Samoa,2020-06-04,0,0
American Samoa,2020-06-05,0,0
American Samoa,2020-06-06,0,0
American Samoa,2020-06-07,0,0
American Samoa,2020-06-08,0,0
American Samoa,2020-06-09,0,0
American Samoa,2020-06-10,0,0
American Samoa,2020-06-11,0,0
American Samoa,2020-06-12,0,0
American Samoa,2020-06-13,0,0
American Samoa,2020-06-14,0,0
American Samoa,2020-06-15,0,0
American Samoa,2020-06-16,0,0
American Samoa,2020-06-17,0,0
American Samoa,2020-06-18,0,0
American Samoa,2020-06-19,0,0
American Samoa,2020-06-20,0,0
American Samoa,2020-06-21,0,0
American Samoa,2020-06-22,0,0
American Samoa,2020-06-23,0,0
American Samoa,2020-06-24,0,0
American Samoa,2020-06-25,0,0
American Samoa,2020-06-26,0,0
American Samoa,2020-06-27,0,0
American Samoa,2020-06-28,0,0
American Samoa,2020-06-29,0,0
American Samoa,2020-06-30,0,0
American Samoa,2020-07-01,0,0
American Samoa,2020-07-02,0,0
American Samoa,2020-07-03,0,0
American Samoa,2020-07-04,0,0
American Samoa,2020-07-05,0,0
American Samoa,2020-07-06,0,0
American Samoa,2020-07-07,0,0
American Samoa,2020-07-08,0,0
American Samoa,2020-07-09,0,0
American Samoa,2020-07-10,0,0
American Samoa,2020-07-11,0,0
American Samoa,2020-07-12,0,0
American Samoa,2020-07-13,0,0
American Samoa,2020-07-14,0,0
American Samoa,2020-07-15,0,0
American Samoa,2020-07-16,0,0
American Samoa,2020-07-17,0,0
American Samoa,2020-07-18,0,0
American Samoa,2020-07-19,0,0
American Samoa,2020-07-20,0,0
American Samoa,2020-07-21,0,0
American Samoa,2020-07-22,0,0
American Samoa,2020-07-23,0,0
American Samoa,2020-07-24,0,0
American Samoa,2020-07-25,0,0
American Samoa,2020-07-26,0,0
American Samoa,2020-07-27,0,0
American Samoa,2020-07-28,0,0
American Samoa,2020-07-29,0,0
American Samoa,2020-07-30,0,0
American Samoa,2020-07-31,0,0
American Samoa,2020-08-01,0,0
American Samoa,2020-08-02,0,0
American Samoa,2020-08-03,0,0
American Samoa,2020-08-04,0,0
American Samoa,2020-08-05,0,0
American Samoa,2020-08-06,0,0
American Samoa,2020-08-07,0,0
American Samoa,2020-08-08,0,0
American Samoa,2020-08-09,0,0
American Samoa,2020-08-10,0,0
American Samoa,2020-08-11,0,0
American Samoa,2020-08-12,0,0
American Samoa,2020-08-13,0,0
American Samoa,2020-08-14,0,0
American Samoa,2020-08-15,0,0
American Samoa,2020-08-16,0,0
American Samoa,2020-08-17,0,0
American Samoa,2020-08-18,0,0
American Samoa,2020-08-19,0,0
Arizona,2020-01-22,0,0
Arizona,2020-01-23,0,0
Arizona,2020-01-24,0,0
Arizona,2020-01-25,0,0
Arizona,2020-01-26,0,0
Arizona,2020-01-27,0,0
Arizona,2020-01-28,0,0
Arizona,2020-01-29,0,0
Arizona,2020-01-30,0,0
Arizona,2020-01-31,0,0
Arizona,2020-02-01,0,0
Arizona,2020-02-02,0,0
Arizona,2020-02-03,0,0
Arizona,2020-02-04,0,0
Arizona,2020-02-05,0,0
Arizona,2020-02-06,0,0
Arizona,2020-02-07,0,0
Arizona,2020-02-08,0,0
Arizona,2020-02-09,0,0
Arizona,2020-02-10,0,0
Arizona,2020-02-11,0,0
Arizona,2020-02-12,0,0
Arizona,2020-02-13,0,0
Arizona,2020-02-14,0,0
Arizona,2020-02-15,0,0
Arizona,2020-02-16,0,0
Arizona,2020-02-17,0,0
Arizona,2020-02-18,0,0
Arizona,2020-02-19,0,0
Arizona,2020-02-20,0,0
Arizona,2020-02-21,0,0
Arizona,2020-02-22,0,0
Arizona,2020-02-23,0,0
Arizona,2020-02-24,0,0
Arizona,2020-02-25,0,0
Arizona,2020-02-26,0,0
Arizona,2020-02-27,0,0
Arizona,2020-02-28,0,0
Arizona,2020-02-29,0,0
Arizona,2020-03-01,0,0
Arizona,2020-03-02,0,0
Arizona,2020-03-03,0,0
Arizona,2020-03-04,0,0
Arizona,2020-03-05,0,0
Arizona,2020-03-06,0,0
Arizona,2020-03-07,0,0
Arizona,2020-03-08,0,0
Arizona,2020-03-09,0,0
Arizona,2020-03-10,0,0
Arizona,2020-03-11,0,0
Arizona,2020-03-12,0,0
Arizona,2020-03-13,0,0
Arizona,2020-03-14,0,0
Arizona,2020-03-15,0,0
Arizona,2020-03-16,0,0
Arizona,2020-03-17,0,0
Arizona,2020-03-18,0,0
Arizona,2020-03-19,0,0
Arizona,2020-03-20,0,0
Arizona,2020-03-21,1,1
Arizona,2020-03-22,2,1
Arizona,2020-03-23,2,0
Arizona,2020-03-24,5,3
Arizona,2020-03-25,6,1
Arizona,2020-03-26,8,2
Arizona,2020-03-27,13,5
Arizona,2020-03-28,15,2
Arizona,2020-03-29,17,2
Arizona,2020-03-30,20,3
Arizona,2020-03-31,25,5
Arizona,2020-04-01,32,7
Arizona,2020-04-02,35,3
Arizona,2020-04-03,44,9
Arizona,2020-04-04,52,8
Arizona,2020-04-05,64,12
Arizona,2020-04-06,65,1
Arizona,2020-04-07,73,8
Arizona,2020-04-08,89,16
Arizona,2020-04-09,98,9
Arizona,2020-04-10,106,8
Arizona,2020-04-11,117,11
Arizona,2020-04-12,125,8
Arizona,2020-04-13,132,7
Arizona,2020-04-14,143,11
Arizona,2020-04-15,155,12
Arizona,2020-04-16,164,9
Arizona,2020-04-17,183,19
Arizona,2020-04-18,180,-3
Arizona,2020-04-19,184,4
Arizona,2020-04-20,191,7
Arizona,2020-04-21,208,17
Arizona,2020-04-22,231,23
Arizona,2020-04-23,249,18
Arizona,2020-04-24,266,17
Arizona,2020-04-25,273,7
Arizona,2020-04-26,275,2
Arizona,2020-04-27,275,0
Arizona,2020-04-28,275,0
Arizona,2020-04-29,308,33
Arizona,2020-04-30,320,12
Arizona,2020-05-01,330,10
Arizona,2020-05-02,330,0
Arizona,2020-05-03,362,32
Arizona,2020-05-04,362,0
Arizona,2020-05-05,395,33
Arizona,2020-05-06,426,31
Arizona,2020-05-07,450,24
Arizona,2020-05-08,517,67
Arizona,2020-05-09,532,15
Arizona,2020-05-10,536,4
Arizona,2020-05-11,542,6
Arizona,2020-05-12,562,20
Arizona,2020-05-13,595,33
Arizona,2020-05-14,624,29
Arizona,2020-05-15,651,27
Arizona,2020-05-16,679,28
Arizona,2020-05-17,680,1
Arizona,2020-05-18,687,7
Arizona,2020-05-19,705,18
Arizona,2020-05-20,747,42
Arizona,2020-05-21,764,17
Arizona,2020-05-22,775,11
Arizona,2020-05-23,801,26
Arizona,2020-05-24,801,0
Arizona,2020-05-25,807,6
Arizona,2020-05-26,810,3
Arizona,2020-05-27,834,24
Arizona,2020-05-28,860,26
Arizona,2020-05-29,886,26
Arizona,2020-05-30,904,18
Arizona,2020-05-31,907,3
Arizona,2020-06-01,918,11
Arizona,2020-06-02,943,25
Arizona,2020-06-03,983,40
Arizona,2020-06-04,999,16
Arizona,2020-06-05,1015,16
Arizona,2020-06-06,1043,28
Arizona,2020-06-07,1051,8
Arizona,2020-06-08,1053,2
Arizona,2020-06-09,1076,23
Arizona,2020-06-10,1101,25
Arizona,2020-06-11,1135,34
Arizona,2020-06-12,1156,21
Arizona,2020-06-13,1189,33
Arizona,2020-06-14,1191,2
Arizona,2020-06-15,1203,12
Arizona,2020-06-16,1228,25
Arizona,2020-06-17,1249,21
Arizona,2020-06-18,1283,34
Arizona,2020-06-19,1321,38
Arizona,2020-06-20,1346,25
Arizona,2020-06-21,1349,3
Arizona,2020-06-22,1351,2
Arizona,2020-06-23,1396,45
Arizona,2020-06-24,1467,71
Arizona,2020-06-25,1495,28
Arizona,2020-06-26,1536,41
Arizona,2020-06-27,1580,44
Arizona,2020-06-28,1594,14
Arizona,2020-06-29,1598,4
Arizona,2020-06-30,1645,47
Arizona,2020-07-01,1725,80
Arizona,2020-07-02,1764,39
Arizona,2020-07-03,1798,34
Arizona,2020-07-04,1817,19
Arizona,2020-07-05,1825,8
Arizona,2020-07-06,1829,4
Arizona,2020-07-07,1927,98
Arizona,2020-07-08,1963,36
Arizona,2020-07-09,2038,75
Arizona,2020-07-10,2082,44
Arizona,2020-07-11,2151,69
Arizona,2020-07-12,2237,86
Arizona,2020-07-13,2246,9
Arizona,2020-07-14,2337,91
Arizona,2020-07-15,2434,97
Arizona,2020-07-16,2492,58
Arizona,2020-07-17,2583,91
Arizona,2020-07-18,2730,147
Arizona,2020-07-19,2761,31
Arizona,2020-07-20,2784,23
Arizona,2020-07-21,2918,134
Arizona,2020-07-22,2974,56
Arizona,2020-07-23,3063,89
Arizona,2020-07-24,3143,80
Arizona,2020-07-25,3286,143
Arizona,2020-07-26,3305,19
Arizona,2020-07-27,3304,-1
Arizona,2020-07-28,3408,104
Arizona,2020-07-29,3454,46
Arizona,2020-07-30,3626,172
Arizona,2020-07-31,3694,68
Arizona,2020-08-01,3747,53
Arizona,2020-08-02,3765,18
Arizona,2020-08-03,3779,14
Arizona,2020-08-04,3845,66
Arizona,2020-08-05,3932,87
Arizona,2020-08-06,4002,70
Arizona,2020-08-07,4081,79
Arizona,2020-08-08,4137,56
Arizona,2020-08-09,4150,13
Arizona,2020-08-10,4154,4
Arizona,2020-08-11,4199,45
Arizona,2020-08-12,4347,148
Arizona,2020-08-13,4383,36
Arizona,2020-08-14,4423,40
Arizona,2020-08-15,4492,69
Arizona,2020-08-16,4506,14
Arizona,2020-08-17,4506,0
Arizona,2020-08-18,4529,23
Arizona,2020-08-19,4634,105
Arkansas,2020-01-22,0,0
Arkansas,2020-01-23,0,0
Arkansas,2020-01-24,0,0
Arkansas,2020-01-25,0,0
Arkansas,2020-01-26,0,0
Arkansas,2020-01-27,0,0
Arkansas,2020-01-28,0,0
