year,state,legal1820,dtype,agegr,count,pop,age,legal,beertaxa,beerpercap,winepercap,spiritpercap,totpercap,mrate
1970,1,0,all,18-20 yrs,292,189770,18.96998977661133,0,1.373711347579956,.6000000238418579,.0900000035762787,.699999988079071,1.379999995231628,153.8704681396484
1970,1,0,MVA,18-20 yrs,118,189770,18.96998977661133,0,1.373711347579956,.6000000238418579,.0900000035762787,.699999988079071,1.379999995231628,62.18053436279297
1970,1,0,suicide,18-20 yrs,4,189770,18.96998977661133,0,1.373711347579956,.6000000238418579,.0900000035762787,.699999988079071,1.379999995231628,2.107814788818359
1970,1,0,homicide,18-20 yrs,35,189770,18.96998977661133,0,1.373711347579956,.6000000238418579,.0900000035762787,.699999988079071,1.379999995231628,18.44337844848633
1970,1,0,other external,18-20 yrs,50,189770,18.96998977661133,0,1.373711347579956,.6000000238418579,.0900000035762787,.699999988079071,1.379999995231628,26.34768486022949
1970,1,0,internal,18-20 yrs,85,189770,18.96998977661133,0,1.373711347579956,.6000000238418579,.0900000035762787,.699999988079071,1.379999995231628,44.79106140136719
1971,1,0,all,18-20 yrs,316,195623,18.97218132019043,0,1.316049337387085,.6600000262260437,.0900000035762787,.7599999904632568,1.519999980926514,161.5352020263672
1971,1,0,MVA,18-20 yrs,122,195623,18.97218132019043,0,1.316049337387085,.6600000262260437,.0900000035762787,.7599999904632568,1.519999980926514,62.3648567199707
1971,1,0,suicide,18-20 yrs,14,195623,18.97218132019043,0,1.316049337387085,.6600000262260437,.0900000035762787,.7599999904632568,1.519999980926514,7.156622886657715
1971,1,0,homicide,18-20 yrs,37,195623,18.97218132019043,0,1.316049337387085,.6600000262260437,.0900000035762787,.7599999904632568,1.519999980926514,18.91393089294434
1971,1,0,other external,18-20 yrs,57,195623,18.97218132019043,0,1.316049337387085,.6600000262260437,.0900000035762787,.7599999904632568,1.519999980926514,29.1376781463623
1971,1,0,internal,18-20 yrs,86,195623,18.97218132019043,0,1.316049337387085,.6600000262260437,.0900000035762787,.7599999904632568,1.519999980926514,43.96211242675781
1972,1,0,all,18-20 yrs,320,200988,18.97470092773438,0,1.275119662284851,.7400000095367432,.0900000035762787,.7799999713897705,1.610000014305115,159.2134857177734
1972,1,0,MVA,18-20 yrs,148,200988,18.97470092773438,0,1.275119662284851,.7400000095367432,.0900000035762787,.7799999713897705,1.610000014305115,73.63623809814453
1972,1,0,suicide,18-20 yrs,20,200988,18.97470092773438,0,1.275119662284851,.7400000095367432,.0900000035762787,.7799999713897705,1.610000014305115,9.95084285736084
1972,1,0,homicide,18-20 yrs,28,200988,18.97470092773438,0,1.275119662284851,.7400000095367432,.0900000035762787,.7799999713897705,1.610000014305115,13.93118000030518
1972,1,0,other external,18-20 yrs,52,200988,18.97470092773438,0,1.275119662284851,.7400000095367432,.0900000035762787,.7799999713897705,1.610000014305115,25.87219047546387
1972,1,0,internal,18-20 yrs,72,200988,18.97470092773438,0,1.275119662284851,.7400000095367432,.0900000035762787,.7799999713897705,1.610000014305115,35.82303237915039
1973,1,0,all,18-20 yrs,291,206550,18.97023010253906,0,1.200450420379639,.7900000214576721,.1000000014901161,.7900000214576721,1.690000057220459,140.885986328125
1973,1,0,MVA,18-20 yrs,131,206550,18.97023010253906,0,1.200450420379639,.7900000214576721,.1000000014901161,.7900000214576721,1.690000057220459,63.42290115356445
1973,1,0,suicide,18-20 yrs,15,206550,18.97023010253906,0,1.200450420379639,.7900000214576721,.1000000014901161,.7900000214576721,1.690000057220459,7.262164115905762
1973,1,0,homicide,18-20 yrs,25,206550,18.97023010253906,0,1.200450420379639,.7900000214576721,.1000000014901161,.7900000214576721,1.690000057220459,12.10360717773438
1973,1,0,other external,18-20 yrs,58,206550,18.97023010253906,0,1.200450420379639,.7900000214576721,.1000000014901161,.7900000214576721,1.690000057220459,28.08036804199219
1973,1,0,internal,18-20 yrs,62,206550,18.97023010253906,0,1.200450420379639,.7900000214576721,.1000000014901161,.7900000214576721,1.690000057220459,30.01694488525391
1974,1,0,all,18-20 yrs,306,213839,18.98013877868652,0,1.081135869026184,.8299999833106995,.1599999964237213,.8100000023841858,1.799999952316284,143.0983123779297
1974,1,0,MVA,18-20 yrs,129,213839,18.98013877868652,0,1.081135869026184,.8299999833106995,.1599999964237213,.8100000023841858,1.799999952316284,60.32575988769531
1974,1,0,suicide,18-20 yrs,12,213839,18.98013877868652,0,1.081135869026184,.8299999833106995,.1599999964237213,.8100000023841858,1.799999952316284,5.611698627471924
